"filename", "language", "Python", "CSV", "SQL", "Markdown", "Log", "Excel", "XML", "pip requirements", "comment", "blank", "total"
"d:\PYproject\PYscript\.idea\PYscript.iml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\PYproject\PYscript\.idea\dictionaries\sinvon.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\PYproject\PYscript\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\PYproject\PYscript\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"d:\PYproject\PYscript\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"d:\PYproject\PYscript\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\PYproject\PYscript\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\PYproject\PYscript\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"d:\PYproject\PYscript\100测试文件夹\demo1.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 4
"d:\PYproject\PYscript\10博客园爬虫\博园客文章信息.xlsx", "Excel", 0, 0, 0, 0, 0, 78, 0, 0, 0, 1, 79
"d:\PYproject\PYscript\10博客园爬虫\博园客爬虫.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 3, 7, 60
"d:\PYproject\PYscript\10博客园爬虫\博客园爬虫(无效).py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 2, 6, 30
"d:\PYproject\PYscript\10博客园爬虫\测试get_info()方法.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 5, 39
"d:\PYproject\PYscript\12爬取b站弹幕\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\PYproject\PYscript\12爬取b站弹幕\爬取b站弹幕1.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 5, 6, 42
"d:\PYproject\PYscript\12爬取b站弹幕\爬取b站弹幕2.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 14, 17, 79
"d:\PYproject\PYscript\12爬取b站弹幕\词云图测试.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"d:\PYproject\PYscript\13自动答题脚本\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\PYproject\PYscript\13自动答题脚本\自动答题脚本.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 11
