title,link,image
#孟羽童称在格力月薪没过万 在格力两年，孟羽童都做了什么？跟随董明珠日常行程，同时负责市场营销策划#孟羽童,https://www.iesdouyin.com/share/video/7232164524739104059/?region=CN&mid=7089014658346126094&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-0813c001/863e83273a8541aabfd3737a28babff6~c5_300x400.jpeg?x-expires=1685091600&x-signature=Cfk3mDL9d1HvhpLe0%2BmbPsVYObs%3D&from=2563711402_large
董明珠“接班人”孟羽童离职，离职前工作繁杂，月薪不足一万，已注册个人工作室#格力 #董明珠 #孟羽童 #热点 @DOU+小助手,https://www.iesdouyin.com/share/video/7232149618920869177/?region=CN&mid=7191043076532620091&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-dy/b7fd58d13b43418c9769bb22449abe61~c5_300x400.jpeg?x-expires=1685091600&x-signature=XJdEn%2BNqHsFtchGaCBpZMz9ePLQ%3D&from=2563711402_large
#孟羽童称在格力月薪没过万  如果孟羽童月薪没过万，那么，离职是对的，一个月薪几千的新员工怎么可能成为公司未来的老总？,https://www.iesdouyin.com/share/video/7232191803729005882/?region=CN&mid=7232191872176180025&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-0813c001/f16f0a153ce94597810cb4f16de9e6a5~c5_300x400.jpeg?x-expires=1685091600&x-signature=rUwzVCgLBHCsfSxtLhQxFT5GEc8%3D&from=2563711402_large
#孟羽童在格力两年都做了什么？工作繁杂包括行政 政府接待等 #孟羽童在格力月薪没过万,https://www.iesdouyin.com/share/video/7232137810868751656/?region=CN&mid=7106159354360891399&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p9-sign.douyinpic.com/tos-cn-i-0813c001/de8dd86bb6cb4c4c933289684538b42a~c5_300x400.jpeg?x-expires=1685091600&x-signature=PAcCeEV8X4m1aQHQHhcf3Odu94U%3D&from=2563711402_large
孟羽童在格力月薪没过万，孟羽童薪资惹争议，如何看待员工薪酬？#格力称孟羽童已离职 #孟羽童,https://www.iesdouyin.com/share/video/7232167913388543284/?region=CN&mid=7232167959957982008&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p6-sign.douyinpic.com/tos-cn-i-0813c001/79e02e6adc4240049fe9ecea166cbe6f~c5_300x400.jpeg?x-expires=1685091600&x-signature=gABv4nDiI5MhKvDJNQfcjetS21Q%3D&from=2563711402_large
董明珠前秘书孟羽童月薪不过万？副业做得风生水起，辞职去读书，是卷不动了吗？,https://www.iesdouyin.com/share/video/7231863888784968999/?region=CN&mid=7231864164539468604&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-0004/845db15c5a8f48fb982a661a65dbdd73~c5_300x400.jpeg?x-expires=1685091600&x-signature=Mfr7YeXrGC%2FcuvNH8gkGkjl3xKo%3D&from=2563711402_large
职业定位不同，孟羽童离职没毛病，现在签她保底400万（来源：李国庆）#李国庆 #孟羽童离职 #主打的就是一个真实,https://www.iesdouyin.com/share/video/7232141543363202360/?region=CN&mid=6535360748128996104&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p6-sign.douyinpic.com/tos-cn-i-dy/274b8219c43546bdb42d094fe3556b41~c5_300x400.jpeg?x-expires=1685091600&x-signature=m0uMbDB8sbZ56MWnHWJcXtTZPwI%3D&from=2563711402_large
#格力称孟羽童已离职 ，那之前#董明珠 说要把#孟羽童 作为格力的接班人是真的吗？李国庆一语道破其目的#商业模式,https://www.iesdouyin.com/share/video/7231800152460201253/?region=CN&mid=7231800272753019706&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-dy/28f7790f15024e66bd18b78f1968aba7~c5_300x400.jpeg?x-expires=1685091600&x-signature=8PEwckINBfZ5UJQy8K6JEvZsIO4%3D&from=2563711402_large
格力说孟羽童是接班人的时候，就已经注定她接不了班了 #孟羽童 #格力称孟羽童已离职 #格力,https://www.iesdouyin.com/share/video/7231858743259041084/?region=CN&mid=7231858794263317307&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-p-0015/o4vTcAqslCB9yhIyxLftABgYnu9IxFEDeWzBAS~c5_300x400.jpeg?x-expires=1685091600&x-signature=lwKnveimmF5r2H3GHuhx3tzYSjc%3D&from=2563711402_large
孟羽童辞职离开格力电器，是否有着更深层次的原因？,https://www.iesdouyin.com/share/video/7232082545653910844/?region=CN&mid=7232082859766942520&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-0026/faa08f6c6f0c4b51a2fb8d1ba46bfb94~c5_300x400.jpeg?x-expires=1685091600&x-signature=cHPH8nU7Bh4ItV%2BoT896UtLRd0M%3D&from=2563711402_large
